Date,Weekday,Holiday
1950-02-13,Monday,LincolnsBirthday (observed)
1950-02-22,Wednesday,Washingtons Birthday
1950-04-07,Friday,Good Friday Day
1950-05-30,Tuesday,Memorial Day
1950-06-14,Wednesday,FlagDay
1950-07-04,Tuesday,IndependenceDay
1950-09-04,Monday,Labor Day
1950-10-12,Thursday,ColumbusDay
1950-11-07,Tuesday,ElectionDay
1950-11-10,Friday,VeteransDay (observed)
1950-11-23,Thursday,Thanks giving
1950-12-12,Tuesday,Saturdayurday-Before-ChristmasEve
1950-12-25,Monday,Christmas
1951-01-01,Monday,New Years Day
1951-02-12,Monday,LincolnsBirthday
1951-02-22,Thursday,Washingtons Birthday
1951-03-23,Friday,Good Friday Day
1951-05-30,Wednesday,Memorial Day
1951-06-14,Thursday,FlagDay
1951-07-04,Wednesday,IndependenceDay
1951-09-03,Monday,Labor Day
1951-10-12,Friday,ColumbusDay
1951-11-06,Tuesday,ElectionDay
1951-11-12,Monday,VeteransDay (observed)
1951-11-22,Thursday,Thanks giving
1951-12-25,Tuesday,Christmas
1952-01-01,Tuesday,New Years Day
1952-02-12,Tuesday,LincolnsBirthday
1952-02-22,Friday,Washingtons Birthday
1952-04-11,Friday,Good Friday Day
1952-05-30,Friday,Memorial Day
1952-06-13,Friday,FlagDay (observed)
1952-07-04,Friday,IndependenceDay
1952-09-01,Monday,Labor Day
1952-10-13,Monday,ColumbusDay (observed)
1952-11-04,Tuesday,ElectionDay
1952-11-11,Tuesday,VeteransDay
1952-11-27,Thursday,Thanks giving
1952-12-25,Thursday,Christmas
1953-01-01,Thursday,New Years Day
1953-02-12,Thursday,LincolnsBirthday
1953-02-23,Monday,Washingtons Birthday (observed)
1953-04-03,Friday,Good Friday Day
1953-05-29,Friday,Memorial Day (observed)
1953-06-15,Monday,FlagDay (observed)
1953-07-03,Friday,Independence Day (observed)
1953-09-07,Monday,Labor Day
1953-10-12,Monday,ColumbusDay
1953-11-03,Tuesday,ElectionDay
1953-11-11,Wednesday,VeteransDay
1953-11-26,Thursday,Thanks giving
1953-12-25,Friday,Christmas
1954-01-01,Friday,New Years Day
1954-02-22,Monday,Washingtons Birthday
1954-04-16,Friday,Good Friday Day
1954-05-31,Monday,Memorial Day (observed)
1954-07-05,Monday,Independence Day (observed)
1954-09-06,Monday,Labor Day
1954-11-02,Tuesday,ElectionDay
1954-11-25,Thursday,Thanks giving
1954-12-24,Friday,ChristmasEve
1954-12-24,Friday,Christmas (observed)
1954-12-31,Friday,New Years Day (observed)
1955-02-22,Tuesday,Washingtons Birthday
1955-04-08,Friday,Good Friday Day
1955-05-30,Monday,Memorial Day
1955-07-04,Monday,IndependenceDay
1955-09-05,Monday,Labor Day
1955-11-08,Tuesday,ElectionDay
1955-11-24,Thursday,Thanks giving
1955-12-26,Monday,Christmas (observed)
1956-01-02,Monday,New Years Day (observed)
1956-02-22,Wednesday,Washingtons Birthday
1956-03-30,Friday,Good Friday Day
1956-05-30,Wednesday,Memorial Day
1956-07-04,Wednesday,IndependenceDay
1956-09-03,Monday,Labor Day
1956-11-06,Tuesday,ElectionDay
1956-11-22,Thursday,Thanks giving
1956-12-24,Monday,ChristmasEve
1956-12-25,Tuesday,Christmas
1957-01-01,Tuesday,New Years Day
1957-02-22,Friday,Washingtons Birthday
1957-04-19,Friday,Good Friday Day
1957-05-30,Thursday,Memorial Day
1957-07-04,Thursday,IndependenceDay
1957-09-02,Monday,Labor Day
1957-11-05,Tuesday,ElectionDay
1957-11-28,Thursday,Thanks giving
1957-12-25,Wednesday,Christmas
1958-01-01,Wednesday,New Years Day
1958-02-21,Friday,Washingtons Birthday (observed)
1958-04-04,Friday,Good Friday Day
1958-05-30,Friday,Memorial Day
1958-07-04,Friday,IndependenceDay
1958-09-01,Monday,Labor Day
1958-11-04,Tuesday,ElectionDay
1958-11-27,Thursday,Thanks giving
1958-12-25,Thursday,Christmas
1958-12-26,Friday,DayAfterChrismas
1959-01-01,Thursday,New Years Day
1959-02-23,Monday,Washingtons Birthday (observed)
1959-03-27,Friday,Good Friday Day
1959-05-29,Friday,Memorial Day (observed)
1959-07-03,Friday,Independence Day (observed)
1959-09-07,Monday,Labor Day
1959-11-03,Tuesday,ElectionDay
1959-11-26,Thursday,Thanks giving
1959-12-25,Friday,Christmas
1960-01-01,Friday,New Years Day
1960-02-22,Monday,Washingtons Birthday
1960-04-15,Friday,Good Friday Day
1960-05-30,Monday,Memorial Day
1960-07-04,Monday,IndependenceDay
1960-09-05,Monday,Labor Day
1960-11-08,Tuesday,ElectionDay
1960-11-24,Thursday,Thanks giving
1960-12-26,Monday,Christmas (observed)
1961-01-02,Monday,New Years Day (observed)
1961-02-22,Wednesday,Washingtons Birthday
1961-03-31,Friday,Good Friday Day
1961-05-29,Monday,DayBeforeDecorationDay
1961-05-30,Tuesday,Memorial Day
1961-07-04,Tuesday,IndependenceDay
1961-09-04,Monday,Labor Day
1961-11-07,Tuesday,ElectionDay
1961-11-23,Thursday,Thanks giving
1961-12-25,Monday,Christmas
1962-01-01,Monday,New Years Day
1962-02-22,Thursday,Washingtons Birthday
1962-04-20,Friday,Good Friday Day
1962-05-30,Wednesday,Memorial Day
1962-07-04,Wednesday,IndependenceDay
1962-09-03,Monday,Labor Day
1962-11-06,Tuesday,ElectionDay
1962-11-22,Thursday,Thanks giving
1962-12-25,Tuesday,Christmas
1963-01-01,Tuesday,New Years Day
1963-02-22,Friday,Washingtons Birthday
1963-04-12,Friday,Good Friday Day
1963-05-30,Thursday,Memorial Day
1963-07-04,Thursday,IndependenceDay
1963-09-02,Monday,Labor Day
1963-11-05,Tuesday,ElectionDay
1963-11-25,Monday,PresidentialFuneral-JohnKennedy
1963-11-28,Thursday,Thanks giving
1963-12-25,Wednesday,Christmas
1964-01-01,Wednesday,New Years Day
1964-02-21,Friday,Washingtons Birthday (observed)
1964-03-27,Friday,Good Friday Day
1964-05-29,Friday,Memorial Day (observed)
1964-07-03,Friday,Independence Day (observed)
1964-09-07,Monday,Labor Day
1964-11-03,Tuesday,ElectionDay
1964-11-26,Thursday,Thanks giving
1964-12-25,Friday,Christmas
1965-01-01,Friday,New Years Day
1965-02-22,Monday,Washingtons Birthday
1965-04-16,Friday,Good Friday Day
1965-05-31,Monday,Memorial Day (observed)
1965-07-05,Monday,Independence Day (observed)
1965-09-06,Monday,Labor Day
1965-11-02,Tuesday,ElectionDay
1965-11-25,Thursday,Thanks giving
1965-12-24,Friday,Christmas (observed)
1966-02-22,Tuesday,Washingtons Birthday
1966-04-08,Friday,Good Friday Day
1966-05-30,Monday,Memorial Day
1966-07-04,Monday,IndependenceDay
1966-09-05,Monday,Labor Day
1966-11-08,Tuesday,ElectionDay
1966-11-24,Thursday,Thanks giving
1966-12-26,Monday,Christmas (observed)
1967-01-02,Monday,New Years Day (observed)
1967-02-22,Wednesday,Washingtons Birthday
1967-03-24,Friday,Good Friday Day
1967-05-30,Tuesday,Memorial Day
1967-07-04,Tuesday,IndependenceDay
1967-09-04,Monday,Labor Day
1967-11-07,Tuesday,ElectionDay
1967-11-23,Thursday,Thanks giving
1967-12-25,Monday,Christmas
1968-01-01,Monday,New Years Day
1968-02-12,Monday,LincolnsBirthday
1968-02-22,Thursday,Washingtons Birthday
1968-04-09,Tuesday,DayOfMourning-MartinLutherKing
1968-04-12,Friday,Good Friday Day
1968-05-30,Thursday,Memorial Day
1968-06-12,Wednesday,PaperCrisis
1968-06-19,Wednesday,PaperCrisis
1968-06-26,Wednesday,PaperCrisis
1968-07-03,Wednesday,PaperCrisis
1968-07-04,Thursday,IndependenceDay
1968-07-05,Friday,DayAfterIndependenceDay
1968-07-10,Wednesday,PaperCrisis
1968-07-17,Wednesday,PaperCrisis
1968-07-24,Wednesday,PaperCrisis
1968-07-31,Wednesday,PaperCrisis
1968-08-07,Wednesday,PaperCrisis
1968-08-14,Wednesday,PaperCrisis
1968-08-21,Wednesday,PaperCrisis
1968-08-28,Wednesday,PaperCrisis
1968-09-02,Monday,Labor Day
1968-09-04,Wednesday,PaperCrisis
1968-09-11,Wednesday,PaperCrisis
1968-09-18,Wednesday,PaperCrisis
1968-09-25,Wednesday,PaperCrisis
1968-10-02,Wednesday,PaperCrisis
1968-10-09,Wednesday,PaperCrisis
1968-10-16,Wednesday,PaperCrisis
1968-10-23,Wednesday,PaperCrisis
1968-10-30,Wednesday,PaperCrisis
1968-11-05,Tuesday,ElectionDay
1968-11-06,Wednesday,PaperCrisis
1968-11-13,Wednesday,PaperCrisis
1968-11-20,Wednesday,PaperCrisis
1968-11-27,Wednesday,PaperCrisis
1968-11-28,Thursday,Thanks giving
1968-12-04,Wednesday,PaperCrisis
1968-12-11,Wednesday,PaperCrisis
1968-12-18,Wednesday,PaperCrisis
1968-12-25,Wednesday,PaperCrisis
1968-12-25,Wednesday,Christmas
1969-01-01,Wednesday,New Years Day
1969-02-10,Monday,Weather-Snow
1969-02-21,Friday,Washingtons Birthday (observed)
1969-03-31,Monday,PresidentialFuneral-DwightEisenhower
1969-04-04,Friday,Good Friday Day
1969-05-30,Friday,Memorial Day
1969-07-04,Friday,IndependenceDay
1969-07-21,Monday,FirstLunarLanding
1969-09-01,Monday,Labor Day
1969-11-27,Thursday,Thanks giving
1969-12-25,Thursday,Christmas
1970-01-01,Thursday,New Years Day
1970-02-23,Monday,Washingtons Birthday (observed)
1970-03-27,Friday,Good Friday Day
1970-05-29,Friday,Memorial Day (observed)
1970-07-03,Friday,Independence Day (observed)
1970-09-07,Monday,Labor Day
1970-11-26,Thursday,Thanks giving
1970-12-25,Friday,Christmas
1971-01-01,Friday,New Years Day
1971-02-15,Monday,Washingtons Birthday
1971-04-09,Friday,Good Friday Day
1971-05-31,Monday,Memorial Day
1971-07-05,Monday,Independence Day (observed)
1971-09-06,Monday,Labor Day
1971-11-25,Thursday,Thanks giving
1971-12-24,Friday,Christmas (observed)
1972-02-21,Monday,Washingtons Birthday
1972-03-31,Friday,Good Friday Day
1972-05-29,Monday,Memorial Day
1972-07-04,Tuesday,IndependenceDay
1972-09-04,Monday,Labor Day
1972-11-07,Tuesday,ElectionDay
1972-11-23,Thursday,Thanks giving
1972-12-25,Monday,Christmas
1972-12-28,Thursday,PresidentialFuneral-HarryTruman
1973-01-01,Monday,New Years Day
1973-01-25,Thursday,PresidentialFuneral-LyndonJohnson
1973-02-19,Monday,Washingtons Birthday
1973-04-20,Friday,Good Friday Day
1973-05-28,Monday,Memorial Day
1973-07-04,Wednesday,IndependenceDay
1973-09-03,Monday,Labor Day
1973-11-22,Thursday,Thanks giving
1973-12-25,Tuesday,Christmas
1974-01-01,Tuesday,New Years Day
1974-02-18,Monday,Washingtons Birthday
1974-04-12,Friday,Good Friday Day
1974-05-27,Monday,Memorial Day
1974-07-04,Thursday,IndependenceDay
1974-09-02,Monday,Labor Day
1974-11-28,Thursday,Thanks giving
1974-12-25,Wednesday,Christmas
1975-01-01,Wednesday,New Years Day
1975-02-17,Monday,Washingtons Birthday
1975-03-28,Friday,Good Friday Day
1975-05-26,Monday,Memorial Day
1975-07-04,Friday,IndependenceDay
1975-09-01,Monday,Labor Day
1975-11-27,Thursday,Thanks giving
1975-12-25,Thursday,Christmas
1976-01-01,Thursday,New Years Day
1976-02-16,Monday,Washingtons Birthday
1976-04-16,Friday,Good Friday Day
1976-05-31,Monday,Memorial Day
1976-07-05,Monday,Independence Day (observed)
1976-09-06,Monday,Labor Day
1976-11-02,Tuesday,ElectionDay
1976-11-25,Thursday,Thanks giving
1976-12-24,Friday,Christmas (observed)
1977-02-21,Monday,Washingtons Birthday
1977-04-08,Friday,Good Friday Day
1977-05-30,Monday,Memorial Day
1977-07-04,Monday,IndependenceDay
1977-07-14,Thursday,NewYorkCityBlackout
1977-09-05,Monday,Labor Day
1977-11-24,Thursday,Thanks giving
1977-12-26,Monday,Christmas (observed)
1978-01-02,Monday,New Years Day (observed)
1978-02-20,Monday,Washingtons Birthday
1978-03-24,Friday,Good Friday Day
1978-05-29,Monday,Memorial Day
1978-07-04,Tuesday,IndependenceDay
1978-09-04,Monday,Labor Day
1978-11-23,Thursday,Thanks giving
1978-12-25,Monday,Christmas
1979-01-01,Monday,New Years Day
1979-02-19,Monday,Washingtons Birthday
1979-04-13,Friday,Good Friday Day
1979-05-28,Monday,Memorial Day
1979-07-04,Wednesday,IndependenceDay
1979-09-03,Monday,Labor Day
1979-11-22,Thursday,Thanks giving
1979-12-25,Tuesday,Christmas
1980-01-01,Tuesday,New Years Day
1980-02-18,Monday,Washingtons Birthday
1980-04-04,Friday,Good Friday Day
1980-05-26,Monday,Memorial Day
1980-07-04,Friday,IndependenceDay
1980-09-01,Monday,Labor Day
1980-11-04,Tuesday,ElectionDay
1980-11-27,Thursday,Thanks giving
1980-12-25,Thursday,Christmas
1981-01-01,Thursday,New Years Day
1981-02-16,Monday,Washingtons Birthday
1981-04-17,Friday,Good Friday Day
1981-05-25,Monday,Memorial Day
1981-07-03,Friday,Independence Day (observed)
1981-09-07,Monday,Labor Day
1981-11-26,Thursday,Thanks giving
1981-12-25,Friday,Christmas
1982-01-01,Friday,New Years Day
1982-02-15,Monday,Washingtons Birthday
1982-04-09,Friday,Good Friday Day
1982-05-31,Monday,Memorial Day
1982-07-05,Monday,Independence Day (observed)
1982-09-06,Monday,Labor Day
1982-11-25,Thursday,Thanks giving
1982-12-24,Friday,Christmas (observed)
1983-02-21,Monday,Washingtons Birthday
1983-04-01,Friday,Good Friday Day
1983-05-30,Monday,Memorial Day
1983-07-04,Monday,IndependenceDay
1983-09-05,Monday,Labor Day
1983-11-24,Thursday,Thanks giving
1983-12-26,Monday,Christmas (observed)
1984-01-02,Monday,New Years Day (observed)
1984-02-20,Monday,Washingtons Birthday
1984-04-20,Friday,Good Friday Day
1984-05-28,Monday,Memorial Day
1984-07-04,Wednesday,IndependenceDay
1984-09-03,Monday,Labor Day
1984-11-22,Thursday,Thanks giving
1984-12-25,Tuesday,Christmas
1985-01-01,Tuesday,New Years Day
1985-02-18,Monday,Washingtons Birthday
1985-04-05,Friday,Good Friday Day
1985-05-27,Monday,Memorial Day
1985-07-04,Thursday,IndependenceDay
1985-09-02,Monday,Labor Day
1985-09-27,Friday,Weather-HurricaneGloria
1985-11-28,Thursday,Thanks giving
1985-12-25,Wednesday,Christmas
1986-01-01,Wednesday,New Years Day
1986-02-17,Monday,Washingtons Birthday
1986-03-28,Friday,Good Friday Day
1986-05-26,Monday,Memorial Day
1986-07-04,Friday,IndependenceDay
1986-09-01,Monday,Labor Day
1986-11-27,Thursday,Thanks giving
1986-12-25,Thursday,Christmas
1987-01-01,Thursday,New Years Day
1987-02-16,Monday,Washingtons Birthday
1987-04-17,Friday,Good Friday Day
1987-05-25,Monday,Memorial Day
1987-07-03,Friday,Independence Day (observed)
1987-09-07,Monday,Labor Day
1987-11-26,Thursday,Thanks giving
1987-12-25,Friday,Christmas
1988-01-01,Friday,New Years Day
1988-02-15,Monday,Washingtons Birthday
1988-04-01,Friday,Good Friday Day
1988-05-30,Monday,Memorial Day
1988-07-04,Monday,IndependenceDay
1988-09-05,Monday,Labor Day
1988-11-24,Thursday,Thanks giving
1988-12-26,Monday,Christmas (observed)
1989-01-02,Monday,New Years Day (observed)
1989-02-20,Monday,Washingtons Birthday
1989-03-24,Friday,Good Friday Day
1989-05-29,Monday,Memorial Day
1989-07-04,Tuesday,IndependenceDay
1989-09-04,Monday,Labor Day
1989-11-23,Thursday,Thanks giving
1989-12-25,Monday,Christmas
1990-01-01,Monday,New Years Day
1990-02-19,Monday,Washingtons Birthday
1990-04-13,Friday,Good Friday Day
1990-05-28,Monday,Memorial Day
1990-07-04,Wednesday,IndependenceDay
1990-09-03,Monday,Labor Day
1990-11-22,Thursday,Thanks giving
1990-12-25,Tuesday,Christmas
1991-01-01,Tuesday,New Years Day
1991-02-18,Monday,Washingtons Birthday
1991-03-29,Friday,Good Friday Day
1991-05-27,Monday,Memorial Day
1991-07-04,Thursday,IndependenceDay
1991-09-02,Monday,Labor Day
1991-11-28,Thursday,Thanks giving
1991-12-25,Wednesday,Christmas
1992-01-01,Wednesday,New Years Day
1992-02-17,Monday,Washingtons Birthday
1992-04-17,Friday,Good Friday Day
1992-05-25,Monday,Memorial Day
1992-07-03,Friday,Independence Day (observed)
1992-09-07,Monday,Labor Day
1992-11-26,Thursday,Thanks giving
1992-12-25,Friday,Christmas
1993-01-01,Friday,New Years Day
1993-02-15,Monday,Washingtons Birthday
1993-04-09,Friday,Good Friday Day
1993-05-31,Monday,Memorial Day
1993-07-05,Monday,Independence Day (observed)
1993-09-06,Monday,Labor Day
1993-11-25,Thursday,Thanks giving
1993-12-24,Friday,Christmas (observed)
1994-02-21,Monday,Washingtons Birthday
1994-04-01,Friday,Good Friday Day
1994-04-27,Wednesday,PresidentialFuneral-RichardNixon
1994-05-30,Monday,Memorial Day
1994-07-04,Monday,IndependenceDay
1994-09-05,Monday,Labor Day
1994-11-24,Thursday,Thanks giving
1994-12-26,Monday,Christmas (observed)
1995-01-02,Monday,New Years Day (observed)
1995-02-20,Monday,Washingtons Birthday
1995-04-14,Friday,Good Friday Day
1995-05-29,Monday,Memorial Day
1995-07-04,Tuesday,IndependenceDay
1995-09-04,Monday,Labor Day
1995-11-23,Thursday,Thanks giving
1995-12-25,Monday,Christmas
1996-01-01,Monday,New Years Day
1996-02-19,Monday,Washingtons Birthday
1996-04-05,Friday,Good Friday Day
1996-05-27,Monday,Memorial Day
1996-07-04,Thursday,IndependenceDay
1996-09-02,Monday,Labor Day
1996-11-28,Thursday,Thanks giving
1996-12-25,Wednesday,Christmas
1997-01-01,Wednesday,New Years Day
1997-02-17,Monday,Washingtons Birthday
1997-03-28,Friday,Good Friday Day
1997-05-26,Monday,Memorial Day
1997-07-04,Friday,IndependenceDay
1997-09-01,Monday,Labor Day
1997-11-27,Thursday,Thanks giving
1997-12-25,Thursday,Christmas
1998-01-01,Thursday,New Years Day
1998-01-19,Monday,Martin Luther King Day
1998-02-16,Monday,Washingtons Birthday
1998-04-10,Friday,Good Friday Day
1998-05-25,Monday,Memorial Day
1998-07-03,Friday,Independence Day (observed)
1998-09-07,Monday,Labor Day
1998-11-26,Thursday,Thanks giving
1998-12-25,Friday,Christmas
1999-01-01,Friday,New Years Day
1999-01-18,Monday,Martin Luther King Day
1999-02-15,Monday,Washingtons Birthday
1999-04-02,Friday,Good Friday Day
1999-05-31,Monday,Memorial Day
1999-07-05,Monday,Independence Day (observed)
1999-09-06,Monday,Labor Day
1999-11-25,Thursday,Thanks giving
1999-12-24,Friday,Christmas (observed)
2000-01-17,Monday,Martin Luther King Day
2000-02-21,Monday,Washingtons Birthday
2000-04-21,Friday,Good Friday Day
2000-05-29,Monday,Memorial Day
2000-07-04,Tuesday,IndependenceDay
2000-09-04,Monday,Labor Day
2000-11-23,Thursday,Thanks giving
2000-12-25,Monday,Christmas
2001-01-01,Monday,New Years Day
2001-01-15,Monday,Martin Luther King Day
2001-02-19,Monday,Washingtons Birthday
2001-04-13,Friday,Good Friday Day
2001-05-28,Monday,Memorial Day
2001-07-04,Wednesday,IndependenceDay
2001-09-03,Monday,Labor Day
2001-09-11,Tuesday,WorldTradeCenterEvent
2001-09-12,Wednesday,WorldTradeCenterEvent
2001-09-13,Thursday,WorldTradeCenterEvent
2001-09-14,Friday,WorldTradeCenterEvent
2001-11-22,Thursday,Thanks giving
2001-12-25,Tuesday,Christmas
2002-01-01,Tuesday,New Years Day
2002-01-21,Monday,Martin Luther King Day
2002-02-18,Monday,Washingtons Birthday
2002-03-29,Friday,Good Friday Day
2002-05-27,Monday,Memorial Day
2002-07-04,Thursday,IndependenceDay
2002-09-02,Monday,Labor Day
2002-11-28,Thursday,Thanks giving
2002-12-25,Wednesday,Christmas
2003-01-01,Wednesday,New Years Day
2003-01-20,Monday,Martin Luther King Day
2003-02-17,Monday,Washingtons Birthday
2003-04-18,Friday,Good Friday Day
2003-05-26,Monday,Memorial Day
2003-07-04,Friday,IndependenceDay
2003-09-01,Monday,Labor Day
2003-11-27,Thursday,Thanks giving
2003-12-25,Thursday,Christmas
2004-01-01,Thursday,New Years Day
2004-01-19,Monday,Martin Luther King Day
2004-02-16,Monday,Washingtons Birthday
2004-04-09,Friday,Good Friday Day
2004-05-31,Monday,Memorial Day
2004-06-11,Friday,PresidentialFuneral-RonaldReagan
2004-07-05,Monday,Independence Day (observed)
2004-09-06,Monday,Labor Day
2004-11-25,Thursday,Thanks giving
2004-12-24,Friday,Christmas (observed)
2005-01-17,Monday,Martin Luther King Day
2005-02-21,Monday,Washingtons Birthday
2005-03-25,Friday,Good Friday Day
2005-05-30,Monday,Memorial Day
2005-07-04,Monday,IndependenceDay
2005-09-05,Monday,Labor Day
2005-11-24,Thursday,Thanks giving
2005-12-26,Monday,Christmas (observed)
2006-01-02,Monday,New Years Day (observed)
2006-01-16,Monday,Martin Luther King Day
2006-02-20,Monday,Washingtons Birthday
2006-04-14,Friday,Good Friday Day
2006-05-29,Monday,Memorial Day
2006-07-04,Tuesday,IndependenceDay
2006-09-04,Monday,Labor Day
2006-11-23,Thursday,Thanks giving
2006-12-25,Monday,Christmas
2007-01-01,Monday,New Years Day
2007-01-02,Tuesday,Day Of Mourning - Gerald Ford
2007-01-15,Monday,Martin Luther King Day
2007-02-19,Monday,Washingtons Birthday
2007-04-06,Friday,Good Friday Day
2007-05-28,Monday,Memorial Day
2007-07-04,Wednesday,IndependenceDay
2007-09-03,Monday,Labor Day
2007-11-22,Thursday,Thanks giving
2007-12-25,Tuesday,Christmas
2008-01-01,Tuesday,New Years Day
2008-01-21,Monday,Martin Luther King Day
2008-02-18,Monday,Washingtons Birthday
2008-03-21,Friday,Good Friday Day
2008-05-26,Monday,Memorial Day
2008-07-04,Friday,IndependenceDay
2008-09-01,Monday,Labor Day
2008-11-27,Thursday,Thanks giving
2008-12-25,Thursday,Christmas
2009-01-01,Thursday,New Years Day
2009-01-19,Monday,Martin Luther King Day
2009-02-16,Monday,Washingtons Birthday
2009-04-10,Friday,Good Friday Day
2009-05-25,Monday,Memorial Day
2009-07-03,Friday,Independence Day (observed)
2009-09-07,Monday,Labor Day
2009-11-26,Thursday,Thanks giving
2009-12-25,Friday,Christmas
2010-01-01,Friday,New Years Day
2010-01-18,Monday,Martin Luther King Day
2010-02-15,Monday,Washingtons Birthday
2010-04-02,Friday,Good Friday Day
2010-05-31,Monday,Memorial Day
2010-07-05,Monday,Independence Day (observed)
2010-09-06,Monday,Labor Day
2010-11-25,Thursday,Thanks giving
2010-12-24,Friday,Christmas (observed)
