Date,Weekday,Holiday
1914-08-27,Thursday,WorldWar1
1914-08-28,Friday,WorldWar1
1914-08-31,Monday,WorldWar1
1914-09-01,Tuesday,WorldWar1
1914-09-02,Wednesday,WorldWar1
1914-09-03,Thursday,WorldWar1
1914-09-04,Friday,WorldWar1
1914-09-07,Monday,WorldWar1
1914-09-07,Monday,Labor Day
1914-09-08,Tuesday,WorldWar1
1914-09-09,Wednesday,WorldWar1
1914-09-10,Thursday,WorldWar1
1914-09-11,Friday,WorldWar1
1914-09-14,Monday,WorldWar1
1914-09-15,Tuesday,WorldWar1
1914-09-16,Wednesday,WorldWar1
1914-09-17,Thursday,WorldWar1
1914-09-18,Friday,WorldWar1
1914-09-21,Monday,WorldWar1
1914-09-22,Tuesday,WorldWar1
1914-09-23,Wednesday,WorldWar1
1914-09-24,Thursday,WorldWar1
1914-09-25,Friday,WorldWar1
1914-09-28,Monday,WorldWar1
1914-09-29,Tuesday,WorldWar1
1914-09-30,Wednesday,WorldWar1
1914-10-01,Thursday,WorldWar1
1914-10-02,Friday,WorldWar1
1914-10-05,Monday,WorldWar1
1914-10-06,Tuesday,WorldWar1
1914-10-07,Wednesday,WorldWar1
1914-10-08,Thursday,WorldWar1
1914-10-09,Friday,WorldWar1
1914-10-12,Monday,WorldWar1
1914-10-12,Monday,ColumbusDay
1914-10-13,Tuesday,WorldWar1
1914-10-14,Wednesday,WorldWar1
1914-10-15,Thursday,WorldWar1
1914-10-16,Friday,WorldWar1
1914-10-19,Monday,WorldWar1
1914-10-20,Tuesday,WorldWar1
1914-10-21,Wednesday,WorldWar1
1914-10-22,Thursday,WorldWar1
1914-10-23,Friday,WorldWar1
1914-10-26,Monday,WorldWar1
1914-10-27,Tuesday,WorldWar1
1914-10-28,Wednesday,WorldWar1
1914-10-29,Thursday,WorldWar1
1914-10-30,Friday,WorldWar1
1914-11-02,Monday,WorldWar1
1914-11-03,Tuesday,WorldWar1
1914-11-03,Tuesday,ElectionDay
1914-11-04,Wednesday,WorldWar1
1914-11-05,Thursday,WorldWar1
1914-11-06,Friday,WorldWar1
1914-11-09,Monday,WorldWar1
1914-11-10,Tuesday,WorldWar1
1914-11-11,Wednesday,WorldWar1
1914-11-12,Thursday,WorldWar1
1914-11-13,Friday,WorldWar1
1914-11-16,Monday,WorldWar1
1914-11-17,Tuesday,WorldWar1
1914-11-18,Wednesday,WorldWar1
1914-11-19,Thursday,WorldWar1
1914-11-20,Friday,WorldWar1
1914-11-23,Monday,WorldWar1
1914-11-24,Tuesday,WorldWar1
1914-11-25,Wednesday,WorldWar1
1914-11-26,Thursday,WorldWar1
1914-11-26,Thursday,Thanks giving
1914-11-27,Friday,WorldWar1
1914-11-30,Monday,WorldWar1
1914-12-01,Tuesday,WorldWar1
1914-12-02,Wednesday,WorldWar1
1914-12-03,Thursday,WorldWar1
1914-12-04,Friday,WorldWar1
1914-12-07,Monday,WorldWar1
1914-12-08,Tuesday,WorldWar1
1914-12-09,Wednesday,WorldWar1
1914-12-10,Thursday,WorldWar1
1914-12-11,Friday,WorldWar1
1914-12-25,Friday,Christmas
1915-01-01,Friday,New Years Day
1915-02-12,Friday,LincolnsBirthday
1915-02-22,Monday,Washingtons Birthday
1915-04-02,Friday,Good Friday Day
1915-05-31,Monday,Memorial Day (observed)
1915-07-05,Monday,Independence Day (observed)
1915-09-06,Monday,Labor Day
1915-10-12,Tuesday,ColumbusDay
1915-11-02,Tuesday,ElectionDay
1915-11-25,Thursday,Thanks giving
1915-12-24,Friday,Christmas (observed)
1915-12-31,Friday,New Years Day (observed)
1916-02-11,Friday,LincolnsBirthday (observed)
1916-02-22,Tuesday,Washingtons Birthday
1916-04-21,Friday,Good Friday Day
1916-05-30,Tuesday,Memorial Day
1916-06-14,Wednesday,FlagDay
1916-07-04,Tuesday,IndependenceDay
1916-09-04,Monday,Labor Day
1916-10-12,Thursday,ColumbusDay
1916-11-07,Tuesday,ElectionDay
1916-11-30,Thursday,Thanks giving
1916-12-25,Monday,Christmas
1917-01-01,Monday,New Years Day
1917-02-12,Monday,LincolnsBirthday
1917-02-22,Thursday,Washingtons Birthday
1917-04-06,Friday,Good Friday Day
1917-05-30,Wednesday,Memorial Day
1917-06-05,Tuesday,DraftRegistrationDay
1917-06-14,Thursday,FlagDay
1917-07-04,Wednesday,IndependenceDay
1917-09-03,Monday,Labor Day
1917-10-12,Friday,ColumbusDay
1917-11-06,Tuesday,ElectionDay
1917-11-29,Thursday,Thanks giving
1917-12-25,Tuesday,Christmas
1918-01-01,Tuesday,New Years Day
1918-01-28,Monday,HeatlessDay
1918-02-04,Monday,HeatlessDay
1918-02-11,Monday,HeatlessDay
1918-02-12,Tuesday,LincolnsBirthday
1918-02-22,Friday,Washingtons Birthday
1918-03-29,Friday,Good Friday Day
1918-05-30,Thursday,Memorial Day
1918-06-14,Friday,FlagDay
1918-07-04,Thursday,IndependenceDay
1918-09-02,Monday,Labor Day
1918-09-12,Thursday,DraftRegistrationDay
1918-10-11,Friday,ColumbusDay (observed)
1918-11-05,Tuesday,ElectionDay
1918-11-11,Monday,VeteransDay
1918-11-28,Thursday,Thanks giving
1918-12-25,Wednesday,Christmas
1919-01-01,Wednesday,New Years Day
1919-02-12,Wednesday,LincolnsBirthday
1919-02-21,Friday,Washingtons Birthday (observed)
1919-03-25,Tuesday,HomecomingOf27thDivision
1919-04-18,Friday,Good Friday Day
1919-05-06,Tuesday,Parade-77thDivision
1919-05-30,Friday,Memorial Day
1919-06-13,Friday,FlagDay (observed)
1919-07-04,Friday,IndependenceDay
1919-09-01,Monday,Labor Day
1919-09-10,Wednesday,ReturnOfGeneralJohnPershing
1919-10-13,Monday,ColumbusDay (observed)
1919-11-04,Tuesday,ElectionDay
1919-11-27,Thursday,Thanks giving
1919-12-25,Thursday,Christmas
1920-01-01,Thursday,New Years Day
1920-02-12,Thursday,LincolnsBirthday
1920-02-23,Monday,Washingtons Birthday (observed)
1920-04-02,Friday,Good Friday Day
1920-05-31,Monday,Memorial Day (observed)
1920-06-14,Monday,FlagDay
1920-07-05,Monday,Independence Day (observed)
1920-09-06,Monday,Labor Day
1920-10-12,Tuesday,ColumbusDay
1920-11-02,Tuesday,ElectionDay
1920-11-25,Thursday,Thanks giving
1920-12-24,Friday,Christmas (observed)
1920-12-31,Friday,New Years Day (observed)
1921-02-11,Friday,LincolnsBirthday (observed)
1921-02-22,Tuesday,Washingtons Birthday
1921-03-25,Friday,Good Friday Day
1921-05-30,Monday,Memorial Day
1921-06-14,Tuesday,FlagDay
